customer_id,product_id,rating,구매일시,좋아요,장바구니
196,240,3,1632930949.0,1,0
186,299,3,1643397742.0,1,1
22,372,1,1630567116.0,0,0
244,49,2,1632286923.0,1,1
166,343,1,1638077596.0,1,0
298,469,4,1635862806.0,0,0
115,263,2,1632851488.0,1,0
253,460,5,1643308467.0,1,0
305,446,3,1638004817.0,1,0
6,84,3,1635283013.0,1,0
62,255,2,1631052434.0,0,1
286,999,5,1631461125.0,1,0
200,220,5,1627722340.0,1,1
210,40,3,1642715994.0,1,0
224,29,3,1639784457.0,1,0
303,773,3,1631165318.0,0,1
122,382,5,1630950459.0,0,1
194,272,2,1631219794.0,1,1
291,1023,4,1626514944.0,0,1
234,1141,2,1643759237.0,1,1
119,387,4,1637856814.0,0,0
167,481,4,1644418452.0,0,1
299,142,4,1629561320.0,0,0
291,116,2,1626513878.0,1,1
308,1,4,1639416532.0,0,0
95,538,2,1630876566.0,0,1
38,93,5,1644110094.0,0,0
102,756,2,1635428450.0,1,1
63,275,4,1627427401.0,0,0
160,232,5,1628541185.0,0,1
50,244,3,1628732329.0,0,1
301,96,4,1633755827.0,1,1
225,191,4,1631219727.0,1,0
290,86,4,1632411963.0,1,0
97,192,3,1635918860.0,0,1
157,272,4,1638570835.0,1,1
181,1060,1,1630642623.0,1,1
278,594,5,1642975330.0,1,0
276,784,1,1626471932.0,0,1
7,32,4,1643030932.0,0,1
10,16,4,1629568877.0,0,1
284,301,4,1637009322.0,0,0
201,965,2,1635794233.0,0,0
276,556,3,1626471805.0,0,0
287,324,5,1627013916.0,0,0
246,199,5,1636601594.0,1,0
242,1101,5,1631421196.0,0,0
249,239,5,1631321194.0,0,1
99,4,5,1638199097.0,1,1
178,329,3,1634503437.0,1,1
251,98,4,1637951884.0,0,1
81,427,2,1628215131.0,0,1
260,319,4,1642298898.0,1,1
25,179,5,1637533415.0,0,0
59,194,5,1639885088.0,1,0
72,669,2,1631717164.0,1,1
87,379,4,1631557127.0,0,1
290,141,5,1632154293.0,0,0
42,418,5,1632787687.0,1,0
292,507,4,1632783977.0,1,1
115,20,3,1632851009.0,0,0
20,285,1,1631347584.0,0,1
201,217,4,1635792673.0,0,1
13,518,3,1633821053.0,0,1
246,905,4,1636600949.0,0,1
138,26,5,1630704232.0,0,0
167,230,1,1644418341.0,0,0
60,422,5,1635006620.0,0,1
57,301,5,1635378581.0,1,0
223,272,4,1643230094.0,0,1
189,504,4,1644957702.0,0,1
243,15,3,1631667440.0,1,0
92,1030,1,1641931826.0,0,0
246,411,3,1636603047.0,0,1
194,163,4,1631226723.0,1,0
241,680,2,1638929482.0,1,1
178,246,4,1634503954.0,1,1
254,1374,3,1638155558.0,1,1
293,5,3,1640586576.0,0,1
127,227,5,1636044867.0,1,1
225,235,5,1631219643.0,1,0
299,227,3,1629872429.0,1,1
225,475,5,1631220748.0,1,0
