customer_id,product_id,rating,product_label,product_category,product_length,product_style,product_gender,product_pattern,product_season,product_fit,product_color,product_material,product_neckline,customer_gender,customer_zipcode
194,231,2,1,55,3,2,2,8,6,20,150,65,4,1,247
184,288,2,1,28,3,5,1,11,1,20,106,218,4,0,57
21,357,0,1,12,3,19,2,11,5,20,258,72,4,1,307
242,45,1,5,46,3,1,1,11,7,20,209,40,4,1,97
164,331,0,1,70,3,11,1,10,1,20,284,176,4,0,257
295,442,3,3,65,3,17,0,11,3,20,258,228,4,1,233
113,253,1,1,58,3,0,2,11,0,20,235,218,4,1,14
251,433,4,3,65,3,6,2,11,3,20,300,228,4,1,95
302,421,2,3,44,3,16,0,8,5,20,258,72,4,1,244
5,79,2,1,24,3,7,1,11,4,20,258,218,4,0,65
60,245,1,1,58,3,13,2,11,2,20,258,218,4,1,151
283,862,4,6,75,0,0,2,18,3,6,116,218,4,0,273
198,212,4,1,68,3,7,2,11,8,20,258,181,4,0,211
208,36,2,5,47,3,19,1,11,0,20,29,82,4,1,237
222,26,2,5,39,3,3,1,11,2,20,258,102,4,1,91
300,703,2,3,17,3,19,1,11,7,20,98,72,4,0,272
120,366,4,1,12,3,9,0,11,2,20,258,72,4,0,75
192,262,1,1,58,3,3,2,11,0,20,258,218,4,1,88
288,879,3,7,71,1,9,0,18,1,10,284,58,4,1,48
232,951,1,0,75,3,1,0,18,0,20,302,157,4,1,263
117,369,3,1,12,3,19,2,11,8,20,258,72,4,0,8
165,454,3,1,31,3,5,0,11,3,20,258,69,4,1,51
296,134,3,1,35,3,5,0,18,8,20,258,202,4,1,267
288,110,1,1,42,3,14,2,11,1,20,258,105,4,1,48
305,0,3,5,14,3,15,1,8,8,20,46,176,4,0,2
93,505,1,1,21,3,3,2,11,0,20,258,102,4,1,47
37,88,4,1,24,3,10,1,11,6,20,258,228,4,1,61
100,690,1,3,69,3,17,2,11,2,20,144,72,4,1,249
61,265,3,1,50,3,1,0,11,3,20,170,186,4,1,159
158,224,4,1,55,3,10,2,11,2,20,272,27,4,0,334
49,235,2,1,55,3,12,0,11,7,20,272,27,4,0,165
298,91,3,1,24,3,3,0,11,7,20,258,224,4,1,11
223,183,3,1,42,3,4,2,18,1,20,302,176,4,1,157
287,81,3,1,24,3,16,1,11,1,20,186,218,4,0,274
95,184,2,1,42,3,9,0,18,3,20,301,134,4,0,79
155,262,3,1,58,3,3,2,11,0,20,258,218,4,1,184
179,903,0,4,75,0,17,1,18,4,6,115,160,0,0,37
275,550,4,3,72,3,4,2,11,1,20,197,136,4,1,110
273,712,0,3,17,3,6,0,11,2,20,257,74,4,1,17
6,29,3,5,39,3,14,2,11,4,20,291,102,4,1,319
9,15,3,5,54,3,4,0,11,7,20,197,83,4,1,261
281,290,3,1,28,3,7,2,11,2,20,258,218,4,1,4
199,839,1,4,75,0,13,0,18,6,7,98,163,0,1,21
273,519,2,1,60,3,9,1,11,6,20,258,102,4,1,17
284,313,4,1,70,3,3,2,10,8,20,197,213,4,1,303
244,191,4,1,68,3,2,2,11,2,20,258,100,4,0,16
240,930,4,0,75,3,10,2,18,3,20,302,222,4,1,190
247,230,4,1,55,3,11,2,11,6,20,61,27,4,1,314
97,3,4,5,63,3,6,2,11,6,20,143,176,4,0,196
176,318,2,1,5,3,8,2,0,2,20,212,218,4,0,295
249,93,3,1,24,3,14,2,11,4,20,258,204,4,1,136
79,406,1,3,44,3,9,1,11,6,20,197,27,4,0,104
258,308,3,1,70,3,12,1,10,4,20,257,199,4,1,7
24,171,4,1,42,3,1,1,11,5,20,258,133,4,0,169
57,186,4,1,42,3,9,2,11,1,20,258,94,4,0,123
